Date;time;magx;magy;magz;lat;long;gpitch;groll;gyaw
09/04/2020;22:26:50;6,094030101;-33,9621765;-11,35070515;16,5434227;22,48763466;327,9260737;343,8436007;314,3381295
09/04/2020;22:26:54;5,942594988;-33,85321107;-11,50801849;16,50015259;22,27083588;1,319130229;20,08263617;328,5885269
09/04/2020;22:26:57;5,79113469;-33,74431054;-12,40547848;16,43012619;22,43086052;17,85363467;65,3687216;1,036986107
09/04/2020;22:27:00;5,639649632;-33,63548172;-12,53869343;16,56220818;22,66471481;5,181495056;112,4943904;35,85440869
09/04/2020;22:27:03;5,4376327;-33,49046997;-12,61095238;16,5469532;22,58596992;333,2128484;149,5752689;53,00130149
09/04/2020;22:27:06;5,286092573;-33,381788;-12,48836231;16,57071877;22,56343651;298,2405826;199,1803273;40,08307784
09/04/2020;22:27:09;5,134530249;-33,27316409;-12,70138836;16,34206772;22,59149933;301,8576937;307,6680502;323,9709263
09/04/2020;22:27:12;4,982946153;-33,16459823;-12,8575592;16,5225544;22,351717;338,3286208;353,5232159;316,7694139
09/04/2020;22:27:16;4,831341566;-33,05609043;-12,95741177;16,66958809;22,57071686;8,608547595;31,22549387;336,1706584
09/04/2020;22:27:19;4,679716063;-32,94763727;-13,06524181;16,40608788;23,01557541;17,27523718;79,78471694;12,08907454
09/04/2020;22:27:22;4,528071349;-32,83923876;-13,26377392;16,25013542;23,08781433;357,4438333;123,6132007;42,52532468
09/04/2020;22:27:25;4,376407852;-32,73088805;-13,59393883;16,4118557;22,98161697;322,8588861;159,509014;53,4532995
09/04/2020;22:27:28;4,174161255;-32,58650468;-13,73620319;16,50249481;23,10233879;291,6782256;227,5457204;19,78608302
09/04/2020;22:27:31;4,022455923;-32,47827009;-13,91882515;16,39174652;23,14627266;310,9646444;325,0056556;315,628441
09/04/2020;22:27:34;3,87073437;-32,37008331;-14,13429356;16,34368324;23,18426704;346,6906481;3,232511676;319,1058543
09/04/2020;22:27:37;3,718996595;-32,26193751;-14,29081249;16,29444504;23,07629395;12,61943702;43,62048404;344,1431865
09/04/2020;22:27:41;3,567243666;-32,1538361;-14,55145454;16,15036774;23,34657288;13,56482997;92,51343016;21,30080895
09/04/2020;22:27:44;3,415476222;-32,0457791;-14,6187706;15,97836399;23,70538521;347,9566348;132,8213203;47,02158357
09/04/2020;22:27:47;3,263694691;-31,93775624;-14,76815605;16,07467461;24,02522278;312,2587331;169,6030637;52,56738298
09/04/2020;22:27:50;3,11190014;-31,82977436;-15,18289757;15,53436661;23,93387604;290,171322;263,9261903;352,2046402
09/04/2020;22:27:53;2,909487911;-31,68585203;-15,29919243;15,67691898;23,80240631;320,358388;337,5867957;312,9616654
09/04/2020;22:27:56;2,757665185;-31,5779487;-15,2983923;15,73754597;23,78547287;355,299737;13,17048046;323,5562621
09/04/2020;22:27:59;2,605831574;-31,47007611;-15,28321934;15,91080666;23,96046829;15,86348147;56,16682438;353,2933971
09/04/2020;22:28:02;2,453987504;-31,36223767;-15,50465965;15,94530392;23,98391724;8,83327704;103,9170798;29,20340953
09/04/2020;22:28:06;2,302133829;-31,25442313;-14,98924732;16,02819252;23,84669495;339,5661367;141,8009563;50,46358568
09/04/2020;22:28:09;2,150271403;-31,14663933;-15,20535469;16,14403343;23,87596703;303,7893463;183,9923225;47,39845975
09/04/2020;22:28:12;1,998400653;-31,03887944;-15,52464008;16,22919655;24,09301186;295,7575971;294,9238154;329,8041537
09/04/2020;22:28:15;1,795894722;-30,89523373;-15,6874876;16,12062645;24,28654099;330,1471761;347,1984949;313,9636985
09/04/2020;22:28:18;1,64400743;-30,78752506;-15,76580811;15,28226948;23,99006081;2,660767426;23,14194279;329,9935617
09/04/2020;22:28:21;1,492114055;-30,67983347;-16,28255844;15,41712189;23,91672325;16,74389285;69,73892935;3,447151864
09/04/2020;22:28:24;1,34021545;-30,57216237;-16,54215622;15,64299774;23,96106529;2,415681029;115,7642342;37,0079286
09/04/2020;22:28:28;1,18831215;-30,46450834;-16,64465141;15,82673645;24,14100838;329,5940196;151,8248053;52,68824318
09/04/2020;22:28:31;1,036404901;-30,35686456;-16,85822296;15,80871487;24,33880424;295,2891486;205,0916102;35,13213668
09/04/2020;22:28:34;0,884494343;-30,24923444;-16,94322014;15,56671238;24,39800453;303,4946817;314,5783814;318,5231094
09/04/2020;22:28:37;0,732581171;-30,14161798;-17,0263958;15,31376743;24,57198906;339,4651814;356,2416129;315,3125619
